name,age,bp,position,height,weight,foot,growth,value,wage,release_clause,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,fk_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,composure,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,total_stats,base_stats,w/f,sm,a/w,d/w,ir,pac,sho,pas,dri,def,phy,hits,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,ova
A. Pasche,26,CM,CM CDM,175.26,72.45,Right,1,525000.0,4000,801000.0,54,47,43,70,44.0,61,44.0,55,63,63,64,73,61.0,66,82.0,62,73.0,71,55,45,54,52.0,62.0,68.0,54,54.0,49,56,43.0,7,12,14,9,6,1682,357,4,2,High,Medium,1,69,51,63,63,51,60,3,58,58,58,61,62,62,62,61,63,63,63,63,63,63,63,63,59,59,59,59,59,58,54,54,54,58,15,64
Alan Carvalho,30,ST,ST LW LM,182.88,71.55,Right,0,8500000.0,23000,0.0,66,79,76,68,76.0,83,78.0,72,63,79,83,83,88.0,75,75.0,74,81.0,75,74,68,54,33.0,78.0,72.0,76,70.0,35,20,22.0,11,7,14,7,16,1961,412,3,4,High,Low,2,83,75,68,82,33,71,44,77,77,77,77,77,77,77,77,76,76,76,76,68,68,68,76,57,53,53,53,57,53,48,48,48,53,18,77
S. Giovinco,33,CAM,CAM CF,162.56,60.300000000000004,Right,0,9000000.0,49000,15300000.0,73,76,34,78,75.0,85,89.0,91,74,85,84,76,93.0,78,93.0,79,34.0,75,42,78,75,26.0,80.0,78.0,73,82.0,23,29,28.0,6,3,6,3,3,1925,404,4,4,High,Medium,2,80,77,78,86,27,56,73,73,73,73,80,79,79,79,80,80,80,80,79,74,74,74,79,59,56,56,56,59,53,41,41,41,53,12,80
J. Evans,22,CDM,CDM CM,177.8,68.4,Right,13,275000.0,4000,694000.0,44,42,58,62,36.0,54,41.0,46,57,61,54,59,59.0,55,55.0,57,60.0,64,58,38,61,57.0,31.0,54.0,54,48.0,55,58,55.0,8,9,6,7,12,1527,329,2,2,Medium,Medium,1,57,44,54,57,57,60,7,50,50,50,51,51,51,51,51,53,53,53,53,56,56,56,53,56,58,58,58,56,57,58,58,58,57,14,59
Y. Demoncy,23,CDM,CDM CM,180.34,67.5,Right,8,725000.0,2000,1400000.0,49,37,61,68,34.0,64,44.0,45,61,66,66,66,61.0,62,69.0,61,34.0,81,61,43,66,60.0,55.0,64.0,49,58.0,58,61,66.0,8,9,15,5,15,1664,360,2,3,Low,Medium,1,66,44,60,64,60,66,4,56,56,56,59,59,59,59,59,61,61,61,62,63,63,63,62,64,64,64,64,64,63,61,61,61,63,15,65
Yu Hanchao,33,LM,LM LW RW,177.8,69.3,Right,0,1400000.0,11000,2200000.0,69,64,64,72,59.0,71,62.0,64,64,72,73,74,75.0,69,67.0,65,63.0,70,64,59,56,38.0,68.0,74.0,64,71.0,31,34,38.0,16,10,15,8,16,1808,379,4,3,High,Low,1,74,63,70,71,37,64,6,67,67,67,70,69,69,69,70,70,70,70,70,66,66,66,70,58,55,55,55,58,55,49,49,49,55,19,71
M. Darmian,30,RB,RB LB,182.88,69.3,Right,0,6000000.0,28000,10800000.0,69,55,68,74,59.0,72,69.0,35,66,74,68,67,77.0,74,75.0,69,67.0,75,62,56,74,77.0,63.0,59.0,45,78.0,78,80,77.0,6,7,7,12,7,1923,410,5,3,Medium,High,2,67,58,67,73,77,68,49,66,66,66,68,67,67,67,68,68,68,68,69,70,70,70,69,74,74,74,74,74,74,74,74,74,74,15,76
N. Mosti,22,LM,CAM,177.8,72.45,Left,7,300000.0,800,540000.0,58,56,42,68,38.0,60,55.0,39,63,56,62,62,67.0,60,72.0,50,55.0,57,51,27,45,33.0,63.0,65.0,39,50.0,41,49,39.0,6,14,12,10,9,1523,327,2,2,Medium,Medium,1,62,48,63,60,42,52,4,55,55,55,59,58,58,58,59,60,60,60,61,59,59,59,61,52,52,52,52,52,50,46,46,46,50,15,60
M. Čovilo,34,CB,CDM CB,193.04,86.4,Right,0,210000.0,2000,305000.0,54,46,70,63,44.0,56,43.0,57,62,63,33,35,34.0,64,34.0,54,86.0,57,90,56,62,69.0,62.0,52.0,49,63.0,58,69,65.0,15,6,7,9,12,1636,338,2,2,Medium,Medium,1,34,50,58,55,65,76,4,57,57,57,54,56,56,56,54,56,56,56,55,61,61,61,55,59,64,64,64,59,60,68,68,68,60,16,65
L. Grimi,35,CB,LB CB,182.88,73.35000000000001,Left,0,220000.0,4000,319000.0,73,56,65,63,49.0,63,34.0,48,60,65,53,55,66.0,63,62.0,70,74.0,62,70,70,80,67.0,61.0,65.0,56,63.0,68,70,67.0,6,10,16,11,11,1809,381,3,3,Medium,Medium,1,54,62,63,64,68,70,3,62,62,62,63,62,62,62,63,63,63,63,62,64,64,64,62,65,66,66,66,65,65,68,68,68,65,16,67
A. Alcáraz,37,CB,CB,187.96,77.4,Right,0,625000.0,500,1400000.0,47,38,78,71,35.0,61,32.0,35,20,66,41,33,54.0,71,58.0,54,72.0,64,82,42,72,70.0,58.0,44.0,48,83.0,63,76,78.0,8,11,10,16,11,1619,337,3,2,Medium,Medium,2,37,43,49,62,71,75,4,57,57,57,54,56,56,56,54,55,55,55,54,57,57,57,54,64,64,64,64,64,65,72,72,72,65,18,72
A. Trezza,21,RM,LW,165.1,58.5,Right,7,650000.0,500,1600000.0,58,52,35,56,55.0,70,42.0,38,44,70,82,83,85.0,55,80.0,62,58.0,52,59,54,34,20.0,57.0,56.0,55,48.0,20,28,29.0,9,12,11,12,9,1542,339,3,3,High,Low,1,83,55,53,71,25,52,7,59,59,59,64,62,62,62,64,62,62,62,63,54,54,54,63,48,42,42,42,48,45,37,37,37,45,15,64
M. Polster,27,CDM,RB CDM,182.88,76.5,Right,0,800000.0,3000,1200000.0,58,48,62,69,34.0,67,63.0,38,66,68,49,62,52.0,63,54.0,49,67.0,84,75,49,78,70.0,49.0,66.0,39,62.0,67,66,64.0,15,10,11,14,10,1736,376,3,2,Medium,Medium,1,56,47,64,65,67,77,4,57,57,57,60,60,60,60,60,62,62,62,63,66,66,66,63,67,69,69,69,67,66,68,68,68,66,18,68
A. Mozo,23,RB,RB,175.26,70.65,Right,7,5000000.0,9000,9500000.0,70,43,54,70,35.0,68,44.0,38,61,69,81,75,79.0,65,71.0,55,70.0,87,74,34,76,67.0,53.0,42.0,47,60.0,67,72,70.0,6,12,9,7,13,1784,396,3,3,Medium,Medium,1,78,44,60,69,68,77,87,58,58,58,63,60,60,60,63,61,61,61,66,62,62,62,66,71,69,69,69,71,71,69,69,69,71,16,73
